iter	Logloss
0	0.6824593703
1	0.6735467545
2	0.6650936976
3	0.6573370034
4	0.6490947206
5	0.6415771719
6	0.6329260238
7	0.6254050018
8	0.6168761192
9	0.6100638699
10	0.6040337994
11	0.5973977482
12	0.5903292995
13	0.5832962856
14	0.5778359025
15	0.5737864697
16	0.5687049027
17	0.5621674286
18	0.5576063385
19	0.5523537248
20	0.5471129747
21	0.5434165623
22	0.538356459
23	0.5327919572
24	0.527752147
25	0.5241020964
26	0.5193754621
27	0.5154450946
28	0.5108273792
29	0.5066695347
30	0.5031125198
31	0.499815997
32	0.4974012058
33	0.4932574494
34	0.4898090021
35	0.4860805502
36	0.4827266996
37	0.4800350648
38	0.4769549358
39	0.4740508877
40	0.4711227222
41	0.4684267556
42	0.4653570073
43	0.4621908281
44	0.4590427955
45	0.4562118803
46	0.4548048717
47	0.4513995471
48	0.4490614401
49	0.4465182175
50	0.4438321243
51	0.4413371757
52	0.4386424189
53	0.4357295512
54	0.4342041796
55	0.4324903952
56	0.4303350034
57	0.4278817726
58	0.4254796645
59	0.4241213591
60	0.4218750781
61	0.4205861592
62	0.4183902984
63	0.4170244222
64	0.4157307422
65	0.414397569
66	0.4122678166
67	0.4113386305
68	0.4093919447
69	0.4070196518
70	0.4058446079
71	0.4043088557
72	0.4023963557
73	0.4007073132
74	0.3991710146
75	0.3977626791
76	0.3965567274
77	0.3951648605
78	0.3944838346
79	0.3933531232
80	0.3918713035
81	0.3912612642
82	0.3899374569
83	0.3886747629
84	0.3878918426
85	0.3868851528
86	0.3856055218
87	0.3844378147
88	0.3834970772
89	0.382574018
90	0.3809897186
91	0.3798974469
92	0.3783863194
93	0.3769037583
94	0.3758057889
95	0.3748131481
96	0.3739203724
97	0.3727175427
98	0.3715229473
99	0.3705442775
100	0.3697997579
101	0.3688138684
102	0.367564716
103	0.3666440764
104	0.3664464536
105	0.3654473736
106	0.3648152461
107	0.3639487342
108	0.362921166
109	0.3620866936
110	0.3614115215
111	0.3602984104
112	0.3595702032
113	0.35924411
114	0.3582024538
115	0.3573864403
116	0.3561057166
117	0.3548282711
118	0.3537574241
119	0.3531926538
120	0.3526886455
121	0.3519276963
122	0.3509324018
123	0.3504706966
124	0.3501593158
125	0.3493569611
126	0.3485030543
127	0.3476855578
128	0.3472647118
129	0.3467283127
130	0.3454809945
131	0.3447530605
132	0.3439320908
133	0.3434050967
134	0.3428362678
135	0.342016703
136	0.341296496
137	0.3406769345
138	0.3401931021
139	0.3392725796
140	0.3385170549
141	0.3379440893
142	0.337477506
143	0.3369180431
144	0.3361844504
145	0.3357883853
146	0.3350523732
147	0.3342356182
148	0.3337700885
149	0.3333798382
150	0.3327387349
151	0.3320108789
152	0.3314519233
153	0.3307862733
154	0.3302777771
155	0.3295349745
156	0.3289064373
157	0.3283495891
158	0.3278676689
159	0.3273199525
160	0.3268827551
161	0.3260708392
162	0.3259138024
163	0.3252868652
164	0.3249047711
165	0.3244879057
166	0.3240754891
167	0.3233704433
168	0.3228277806
169	0.3222288634
170	0.3215819064
171	0.3205447575
172	0.3198376043
173	0.3196057371
174	0.319290727
175	0.3187686501
176	0.3183224183
177	0.3178701962
178	0.317396081
179	0.3171079397
180	0.316652459
181	0.3165971215
182	0.316182617
183	0.3157353706
184	0.3155736899
185	0.3148148676
186	0.3143406939
187	0.3138749886
188	0.3133161891
189	0.3132275828
190	0.3127869511
191	0.3124201158
192	0.3120785296
193	0.3115070665
194	0.3109394669
195	0.3103423058
196	0.3098725224
197	0.3095020382
198	0.3090910851
199	0.3085798181
200	0.3082371002
201	0.3079363147
202	0.3074780632
203	0.306999109
204	0.3064549049
205	0.3061592902
206	0.3057417223
207	0.3050977312
208	0.3048332585
209	0.3042166825
210	0.3038008122
211	0.3035954234
212	0.3031807824
213	0.3025547232
214	0.3021437896
215	0.3016778502
216	0.3011949154
217	0.3008367631
218	0.3005216555
219	0.3001759327
220	0.29954601
221	0.2992593126
222	0.2988772575
223	0.2985594181
224	0.2980219458
225	0.2976561446
226	0.2972431232
227	0.296934201
228	0.2963220933
229	0.2961291145
230	0.2956528139
231	0.2953888291
232	0.2950209791
233	0.2946716465
234	0.2942861767
235	0.2938804334
236	0.2938478865
237	0.2935094028
238	0.2931996221
239	0.2927919276
240	0.2925519236
241	0.2920822573
242	0.291718622
243	0.2912395311
244	0.2908933986
245	0.2906655704
246	0.2901379519
247	0.2898460837
248	0.2895440299
249	0.2892069707
250	0.2890127431
251	0.2887782416
252	0.2885631942
253	0.2880292731
254	0.2877207998
255	0.2875857926
256	0.2872816315
257	0.2868282191
258	0.2865425364
259	0.2861221977
260	0.2856747561
261	0.2853959027
262	0.2850552727
263	0.2847269551
264	0.2845004928
265	0.2839915283
266	0.2839873526
267	0.2838440137
268	0.283534311
269	0.2830642934
270	0.2827178487
271	0.2823627989
272	0.2820222859
273	0.2815582392
274	0.2815488537
275	0.2812926934
276	0.2810074399
277	0.2807587333
278	0.280211895
279	0.2796937596
280	0.2794066524
281	0.2790636614
282	0.2787494123
283	0.278482481
284	0.2782526041
285	0.2778108407
286	0.2775310116
287	0.2770514525
288	0.2768415173
289	0.2763775291
290	0.2759800982
291	0.2757833925
292	0.2755610864
293	0.2753676002
294	0.2750514194
295	0.2747471802
296	0.2743737106
297	0.2739302106
298	0.2735666338
299	0.2730749769
300	0.2726702093
301	0.272296564
302	0.2720700237
303	0.2717277741
304	0.2713826367
305	0.2710811293
306	0.2706911131
307	0.27025614
308	0.2701257574
309	0.2699135393
310	0.2696312321
311	0.269319188
312	0.2689890752
313	0.2687030997
314	0.268286566
315	0.2680958311
316	0.2678624614
317	0.2676043108
318	0.2673077596
319	0.2670205743
320	0.2668815476
321	0.2665335223
322	0.2661886191
323	0.2657040452
324	0.2654773878
325	0.2651803878
326	0.2646665451
327	0.2644751273
328	0.2642647043
329	0.2639358208
330	0.2637070366
331	0.2636402257
332	0.2631322758
333	0.2629154527
334	0.2626380237
335	0.2623809268
336	0.2620494286
337	0.2619474367
338	0.261678281
339	0.2613466073
340	0.2611121448
341	0.2609322589
342	0.2607003917
343	0.2603974403
344	0.2600993476
345	0.259625369
346	0.259099975
347	0.2587612181
348	0.2584587156
349	0.2580740263
350	0.2577972412
351	0.2574826604
352	0.2572160999
353	0.2568230788
354	0.2564772389
355	0.256119711
356	0.2558471602
357	0.2555435649
358	0.2553019024
359	0.2550250783
360	0.2548768807
361	0.2546273546
362	0.2541208096
363	0.2537714575
364	0.253708354
365	0.2531186857
366	0.2529586441
367	0.2526209995
368	0.2521048348
369	0.2519080511
370	0.2517108771
371	0.2515450012
372	0.2512074346
373	0.2510161339
374	0.2509769332
375	0.2506825674
376	0.2503978407
377	0.2500371909
378	0.2498425145
379	0.2495844809
380	0.2492913249
381	0.2491030291
382	0.2490999461
383	0.2487269643
384	0.2484488914
385	0.248291562
386	0.2482211023
387	0.2480893733
388	0.2477942269
389	0.2476383999
390	0.2473023944
391	0.2469901551
392	0.2466196319
393	0.246255099
394	0.2461005794
395	0.2458948784
396	0.2455134087
397	0.2452401944
398	0.244962141
399	0.2447075612
400	0.2445659979
401	0.2444168637
402	0.2440948291
403	0.2438289711
404	0.2435435419
405	0.2433140357
406	0.2431215447
407	0.2429323709
408	0.2426293024
409	0.2422142712
410	0.2417510635
411	0.2417219899
412	0.2415514505
413	0.2414075066
414	0.2413323249
415	0.2411256678
416	0.2408291165
417	0.2404705545
418	0.2401417296
419	0.2399674242
420	0.2396910489
421	0.2394661086
422	0.239224329
423	0.2390243452
424	0.2388191321
425	0.238438638
426	0.238292138
427	0.2379754888
428	0.23773408
429	0.2374128649
430	0.2372037883
431	0.2370089753
432	0.2367917034
433	0.2366472327
434	0.2364022335
435	0.2360153003
436	0.2358805859
437	0.2357644084
438	0.2355661221
439	0.2354632131
440	0.2352411997
441	0.2350189716
442	0.2348483347
443	0.2347115129
444	0.2345341051
445	0.2342091241
446	0.2340012572
447	0.2338289812
448	0.2336444123
449	0.2335093271
450	0.2332946699
451	0.2330269192
452	0.2329039513
453	0.2327403193
454	0.2325439258
455	0.2323265173
456	0.2320844645
457	0.2317435418
458	0.2315297237
459	0.2312404896
460	0.2310779308
461	0.2307311543
462	0.2305500977
463	0.230345548
464	0.2301543253
465	0.229977776
466	0.2297748849
467	0.2295900623
468	0.2294870362
469	0.2292642618
470	0.2291569234
471	0.2289372125
472	0.2287599608
473	0.2283549784
474	0.2280649249
475	0.2280634809
476	0.2279189712
477	0.227645113
478	0.2274544172
479	0.2272642872
480	0.2270639132
481	0.226751947
482	0.2263918825
483	0.2262192163
484	0.2259777098
485	0.2258587615
486	0.2256782122
487	0.2252839227
488	0.2251024563
489	0.2246248289
490	0.2243777614
491	0.2241135814
492	0.2239505739
493	0.2237829808
494	0.2236358955
495	0.2235504697
496	0.2233136853
497	0.2230907938
